GH	Block	ID	LeafMass	Bergamotene	Linalool
1	A	UT_WT1	2,441	57,53	0
1	A	L1_1	2,819	38,23	1,38
1	A	L1_2	2,775	3,99	22,33
1	A	L1_3	2,802	12,1	4,36
1	A	L1_4	3,209	46,31	9,94
1	A	L1_5	2,95	8,35	0
1	A	L1_6	2,069	0	2,56
1	A	L1_7	2,449	44,17	0
1	A	L1_8	2,335	0	0
1	A	L1_9	3,067	0	5,07
1	A	L1_10	2,547	4,03	0
1	A	L1_11	2,633	5,48	4,73
1	A	L1_12	1,429	17,4	53,25
1	A	L1_13	2,653	12,56	0
1	A	L1_14	1,471	4,55	9,99
1	A	L1_15	2,287	28,42	0
1	A	L1_16	2,316	0	1,68
1	A	L1_17	2	13,3	60,82
1	A	L1_18	2,597	0	2,1
1	A	L1_19	2,551	25,57	3,17
1	A	L1_20	1,994	4,46	2,87
1	A	L1_21	2,135	13,6	2,51
1	A	L1_22	4,967	13,44	1,98
1	A	L1_23	3,283	0	6,73
1	A	L1_24	0,953	60,13	0
1	A	L1_25	2,2	80,41	0
1	A	L1_26	1,774	18,71	0
1	A	L1_27	2,373	136,69	4,08
1	A	L1_28	2,11	11,95	54,3
1	A	L1_29	3,679	5	48,96
1	A	L1_30	2,241	9,19	0
1	A	L1_31	1,848	22,61	0
1	A	L1_32	3,201	7,96	0
1	A	L1_33	1,41	160,49	28,48
1	A	L1_34	3,586	10,88	2,46
1	A	L1_35	2,2	41,47	2,93
1	A	L1_36	2,534	22,91	87,14
1	A	L1_37	2,455	31,92	0
1	A	L1_38	3,822	89,2	15,33
1	A	L1_39	2,314	43,93	68,04
1	A	L1_40	2,231	0	0
1	A	L1_41	2,382	44	31,51
1	A	L1_42	2,722	0	0
1	A	L1_43*	3,014	0	0
1	A	L1_44	3,297	0	0
1	A	L1_45	1,964	0	0
1	A	L1_46	1,956	5,1	3,76
1	A	L1_47	2,398	9,89	17,32
1	B	UT_WT2	2,341	10,61	0
1	B	L1_48	3,836	3,93	0
1	B	L1_49	2,651	50,81	2,06
1	B	L1_50	1,954	9,66	0
1	B	L1_51	2,168	7,4	0
1	B	L1_52	2,573	6,13	31,7
1	B	L1_53	2,73	3,25	0
1	B	L1_54*	2,926	0	13,32
1	B	L1_55	2,669	4,51	30,02
1	B	L1_56	2,714	97,67	0
1	B	L1_57	2,309	7,3	1,9
1	B	L1_58	1,739	17,1	2,63
1	B	L1_59	1,865	9,64	3,09
1	B	L1_60	1,894	35,23	0
1	B	L1_61	2,974	0	0
1	B	L1_62	1,873	10,33	0
1	B	L1_63	1,426	81,41	0
1	B	L1_64	2,227	159,33	2,6
1	B	L1_65	2,438	4,99	0
1	B	L1_66	1,783	0	0
1	B	L1_67	1,401	5,61	0
1	B	L1_68	1,809	79,13	6,38
1	B	L1_69	1,755	12,88	2,32
1	B	L1_70	1,832	22,11	40,03
1	B	L1_71	1,815	79,92	0
1	B	L1_72	1,647	108,66	0
1	B	L1_73	1,651	124,88	89,69
1	B	L1_74	2,663	40,34	44,12
1	B	L1_75	1,933	9,27	4,44
1	B	L1_76	1,57	14,98	5,25
1	B	L1_77	2,224	105,87	2,51
1	B	L1_78	1,85	53,33	0
1	B	L1_79	1,453	7,23	0
1	B	L1_80	2,37	17,81	2,85
1	B	L1_81	2,111	7,66	2,7
1	B	L1_82	2,342	33,39	0
1	B	L1_83	1,732	37,34	12,13
1	B	L1_84	2,13	40,16	3,32
1	B	L1_85	1,198	538,26	156,76
1	B	L1_86	2,078	59,1	34,55
1	B	L1_87	1,533	5,74	29,11
1	B	L1_88	2,296	19,22	19,96
1	B	L1_89	2,379	103,1	0
1	B	L1_90	1,484	218,49	3,38
1	B	L1_91	2,26	15,42	0
1	B	L1_92		5,83	0
1	B	L1_93	1,406	22,16	0
1	B	blank		0	0
1	C	UT_WT3	1,193	57,07	2,44
1	C	L1_94	1,492	0	13,09
