Plant	Path	 1-Hexanal	Limonene*	E-beta.-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl propanoate	 4(Z)-Hexenyl butanoate/ 3(Z)-Hexenyl-1-ol*	 2(E)-Hexenyl butanoate	 n-Hexyl butanoate	 Hexyl 2-methylbutanoate	 3(Z)-hexenyl ester*	 3(Z)-Hexenyl butanoate	 3(Z)-hexenyl valerate*	 3(Z)-Hexenyl isovalerate	 sesquiterpene*	  Linalooll	 Beta-caryophyllene*	 alpha-Duprezianene*	(E)-alpha-Bergamotene*	 beta.-Elemene	 3(Z)-Hexenyl caproate*	 4(E)-Hexenyl hexanoate	 5-Hexenyl hexanoate	 (E)-Hex-3-enyl (E)-2-methylbut-2-enoate*	(E)-beta-Famesene 	 alpha-Terpineol	 sesquiterpene RT 22.7 mixed with neighbor peak	 sesquiterpene RT 22.8	 sesquiterpene RT 23.0	 3(Z)-Hexen-1-ol trifluoroacetate*	 alpha -Farnesene mix with next peak	 sesquiterpene RT 23.8	 Sesquiphellandrene	 sesquiterpenoid RT 24.2	Benzyl acetone*	Nicotine*	 Benzyl alcohol*	 sesquiterpene RT27.3
001_Ut1A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\001_Ut1A_flower.qgd	21810	67804	327	53688	370052	76348	48017	822225	91485	6009	23697	58686	55996	605071	139270	11190	7389	52993	70050	480484	13505	205454	34004	10367	231111	17561	9875	5508	42226	47424	25950	18670	18386	27683	6316	23231	4500204	87059	165999
002_Az1A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\002_Az1A_flower.qgd	41804	79102	258338	45397	801045	221198	113583	1253443	83618	6010	18325	51363	52732	507385	93069	1344	26248	41879	56808	111069	7821	133717	16503	17847	168182	14742	12148	1784	9034	7277		2723	1315	1512		5800	12514067	142479	43802
003_01A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\003_01A_flower.qgd	30907	78789	495483	13178	664680	111189	27954	242508	39936	5828	10811	26098	25740	172793	30637	1210	13621	55189	42849	45003	13671	73869	6420	8647	73993	1385	12659	1872	5799	7637		4409	4538	5860		169291	5678946	119264	158207
004_02A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\004_02A_flower.qgd	94330	62519	923	7624	387476	155766	27491	320335	47840	7722	18737	34234	34234	270635	26541	12689	2615	36708	51479	681594	17845	77095	7443	2874	86678	45509	12417	11432	37680	36015	22217	15334	15455	23699	3241	6043	2504879	111591	85621
005_03A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\005_03A_flower.qgd	34961	68843	213211	51649	633936	221862	119447	902983	42292	6804	40535	61159	61159	966777	225488	12512	3237	28627	40158	472489	15945	277667	44253	18878	258446	39849	15793	6665	36626	35102	12302	4827	16598	20257		10465	23257868	145524	141121
006_04A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\006_04A_flower.qgd	34841	54270	1368	30005	346922	83505	42687	397782	106079	2537	8809	33749	31691	215239	39582	5360	2290	32262	45234	247263	9295	70501	3293	12516	52804	7942	8247	4127	19796	19342		1723	6269	7189		93951	1081014	141722	32001
007_05A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\007_05A_flower.qgd	40717	153090	1441	13757	673784	148485	14872	315968	53861	5231	24961	24557	24812	253624	43661	7079	25022	72696	102325	302546	14833	58336	7874	5558	48974	9187	12184	4596	25619	22912	10211	8280	8895	13007		4143	12665390	115775	104923
008_06A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\008_06A_flower.qgd	44031	114867	523113	62733	764342	209385	24135	425191	101835	4762	22959	20102	20102	222997	36702	4082	21939	47283	64717	88779	11269	53683	3165	14517	78531	11411	12120	3864	11393	9313		2249	2065	3577		37618	2577009	179547	67197
009_07A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\009_07A_flower.qgd	23462	37932	347	6159	298193	73690	22750	305223	48215	1687	6159	19570	19324	132230	23633	8606	2307	47328	69506	569560	12738	53202	4225	8515	37413	16015	8317	3700	20659	16673	2905	4678	5803	9492		10400	1360999	148623	65804
010_08A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\010_08A_flower.qgd	34318	46065	164737	6055	253723	59780	13582	329455	29826	938	5571	19224	19224	6388	28178	2987	2519	58701	81743	97653	7055	72595	5563	8548	67620	18631	8776	1976	12863	11369	8083	1819	5055	5838		3539	892370	135988	134843
011_10A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\011_10A_flower.qgd	31470	32454	187522	70533	413566	110799	104346	614886	32875	3498	7086	76739	76739	342171	37382	5912	7228	20247	24797	357892		89849	4564	9892	103404		9669	3478	21825	17704	10656	5167	5191	10313	1545	6720	653963	90630	20830
012_11A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\012_11A_flower.qgd	32928	34376	911	6910	348244	123650	33861	287705	56852	4504	15198	28800	29356	4627	27615	8942	1669	48181	70770	324181	13024	63601	4534	8743	104709	41343	10872	5811	30346	28877	8723	11295	11405	12013	751	4990	16247777	89301	105990
013_12A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\013_12A_flower.qgd	30388	42824	148261	18019	346220	119317	41365	441842	73605	4933	9947	26475	26122	263419	66853	2654	7097	33875	95200	99721	11528	82445	8343	12056	99515		10292	1761	12644	12924		11838	3575	5335		8417	3192768	145338	72766
014_13A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\014_13A_flower.qgd	28702	59675	721	11337	202403	45231	8916	189013	54782		4578	9998	10427	86404	9369	7574	15801	20918	28070	474303	8344	28212	1189	7384	17267		8670	2747	13477	12585	529	5060	4866	7917	2466	34436	11430795	192676	27671
015_14A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\015_14A_flower.qgd	49203	95002	1063	7463	311778	133608	10740	391408	53932	2828	8629	19249	19249	199619	8927	7104	21632	29737	41335	324014	10422	28057		15400	27661	6165	11788	3421	21439	22152		5715	5715	7054		5732	8328455	120531	43804
016_15A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\016_15A_flower.qgd	25831	58532	249061	6445	253363	67804	14639	201290	38890	4817	6932	19501	18018	125362	16779	2946	17860	37036	49888	150801	12087	45286	2890	13631	32803		11963	4965	24356	24566		8355	4117	3156		8254	2949193	69974	76239
017_16A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\017_16A_flower.qgd	59589	101813	183192	17115	528056	145177	20107	466448	91658	6281	14429	27079	27079	240974	26655	1740	8100	22370	26046	121067	11013	89572	5720	20429	80448	11320	14308	2147	11118	9582				4570		4268	4176602	118351	80170
018_17A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\018_17A_flower.qgd	34696	48970	212957	10500	419865	72376	6733	184481	40877	1170	4073	6183	5845	78082	15474	3958	3357	36125	45820	127551	13952	35666		11834	29488	45221	9772	1718	10251	10698		6974	6264	6491		5439	28487699	119707	62049
019_18A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\019_18A_flower.qgd	24130	65977	240582	8434	447450	77211	27999	567765	128739	1998	11527	19260	22099	344306	65360	1721	9329	46346	66313	95022		137906	8326	23473	140055	15439	12352	1490	9118	9973		960	1126	2248		3440	17971838	97372	94570
020_19A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\020_19A_flower.qgd	31932	50937	407	8165	352255	105299	28068	288068	30697	4290	7414	15175	17082	124222	15817	5890	3867	48478	66027	284865	9003	23665		28883	21727	6477	10148	3974	15558	20131		1877		7509	1408	3605	20673750	136833	49062
021_22A_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\021_22A_flower.qgd	22131	55661	182394	11885	329687	88431	15732	225465	53808	2417	11231	14290	13028	151649	19667		3371	56057	75280	128841	7009	52697		13464	52337	14118	12845		10316	9869		1623		2618		8150	2266993	105196	73982
