ID	Genotype	 1-Hexanal	E-beta-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl-propanoate	 4(Z)-Hexenyl-butanoate	 2(E)-Hexenyl-butanoate	 n-Hexyl-butanoate	 Hexyl 2-methylbutanoate	 3(Z)-Hexenyl-butanoate	 3(Z)-hexenyl-valerate	 3(Z)-Hexenyl-isovalerate	  Linalooll	 alpha-Duprezianene	TAB	 beta-Elemene	 3(Z)-Hexenylcaproate	 4(E)-Hexenyl-hexanoate	 5-Hexenyl-hexanoate	 (E)-Hex-3-enyl(E)-2-methylbut-2-enoate	 alpha-Terpineol	 sesquiterpeneRT22.7	 sesquiterpeneRT22.8	 sesquiterpeneRT23.0	 3(Z)-Hexen-1-oltrifluoroacetate	 alpha-Farnesene	 sesquiterpeneRT23.8	 Sesquiphellandrene	 sesquiterpenoidRT24.2	Nicotine	 Benzyl-alcohol	 sesquiterpeneRT27.3
33A	33A	34276	12036	97681	87777	88648	224839	1701643	125880	82048	35318	2490576	2131087	120430	42847	69883	39522	3000	1088627	285133	37688	644711	160302	3000	3000	3000	126365	3000	3166	3000	3000	6847284	1913296	200632
117A	117A	33350	452423	79737	60991	102020	369410	2068733	232705	101338	84856	2101277	2803454	238550	9329	142444	32575	3000	2642115	832752	35992	2005258	368204	3000	8151	6043	281114	22713	3659	3968	3000	20702272	1134533	435663
142B	142B	27270	246619	42581	65200	62888	170491	1186316	129024	48008	51168	953889	1520403	194674	98681	208284	37928	3000	1715829	1176267	44372	1693778	750938	3000	27902	20508	413796	15040	4387	3000	3000	21225831	1021766	893496
28A	28A	49648	668173	141785	69202	96122	441605	2385005	213344	178720	89887	5017993	3684846	281209	14697	303540	91105	8177	3167670	2858762	128428	3835166	2273952	9271	41710	38904	1411359	41152	7416	5784	3000	2973611	913772	978815
104A	104A	30073	1132264	356292	149165	88866	850507	5417179	472553	139557	130185	4019677	4944332	732756	141975	586274	107812	7465	5587614	1913303	63234	2560052	655029	5747	28681	25869	511436	31629	10311	3151	3000	29350051	906107	1024192
94A	94A	31056	336610	99789	62689	70923	308742	1777793	124511	116873	64748	5071481	3875515	132216	8147	87227	31426	3000	1171819	801943	90422	955340	269982	5255	3448	3448	720143	25137	3000	3000	3000	4144026	1564401	336159
22A	22A	75853	268390	173089	84330	114937	351951	2227297	292836	57537	34384	1318901	1298720	76458	64311	142686	29996	3000	349419	253683	25250	453624	230243	3000	3888	3888	80106	3149	3417	4226	3000	11314014	1636217	238094
102B	102B	30345	240330	69807	61943	45734	211308	1045605	91163	55684	32161	1777364	1477313	138915	106425	207280	209712	3000	1273173	830905	47110	1475761	858222	3000	16067	18827	283757	17905	4484	3000	3000	14755987	865692	757580
14B	14B	53107	129844	81770	53272	52880	235170	1689652	125341	28178	20711	808890	936253	78862	11818	45881	10915	3000	400320	252866	23080	412539	183879	3000	3236	3000	86719	8222	6778	3000	3000	7568812	2458331	137218
115B	115B	43667	446382	137580	91357	83924	332630	2377754	105128	82838	58389	3465885	3055096	105791	74192	129718	61187	3000	931537	350842	53298	832943	256700	3000	7998	6443	366429	25116	3000	3778	3000	14172318	2235444	456262
87B	87B	32511	825179	117014	73502	48948	259496	1373648	90759	54497	42716	1675046	1897052	124995	7847	148502	160114	3000	940092	463197	29463	930255	522603	3000	5030	9992	170962	29160	6080	3954	3000	33352937	1315928	585499
139B	139B	33457	285102	66674	48577	38550	198299	1103558	116752	35879	31854	843866	1240673	120751	50096	173064	24134	3000	1172956	716819	32799	1073007	321435	3000	6121	3000	257988	9471	3381	3000	3000	21340958	1451122	627817
48B	48B	35915	462130	149759	164073	104997	545186	2955067	254857	98005	74932	2615919	3262230	258441	10846	251957	34378	3000	2556916	1078105	51391	1731890	629480	3221	15230	6545	395236	36262	3000	3000	3000	6706608	1316914	683521
128B	128B	34497	342226	56774	73173	49392	135303	828370	66741	35718	22307	1455082	1527761	146553	101981	149864	56717	3000	1921053	696659	44698	1775950	965155	3000	3000	3000	316892	15971	3000	3000	3000	40083877	841304	713371
133B	133B	26657	356760	44400	111466	51996	162931	848488	64101	64965	24339	2557894	1376738	138907	98171	256623	101461	5440	1822722	834199	65792	1606792	978416	6659	38579	39007	503822	55548	6320	3000	3023	9427159	739050	1347948
136A	136A	39417	522434	62465	58236	49227	239641	1356790	111715	49281	37972	1281248	1449583	97414	4528	41478	28986	3000	886165	752476	35328	1106417	448145	4904	5072	3777	298531	13137	3000	3000	3025	20739722	1419888	214612
114A	114A	29599	254912	158270	142875	222826	588250	3722184	197527	191941	143848	3184080	5444039	360189	13369	168651	42480	7254	5158107	2148480	82192	3609132	1037572	3037	21141	9135	710079	14340	6698	7528	3041	25813253	962972	531276
84B	84B	88306	400687	141449	62236	55573	439939	2711634	100991	47334	51819	1784046	1915756	137952	10404	224465	34243	3000	1221937	441552	25597	737839	200257	3000	9309	9309	157770	4772	4772	3000	3191	17409153	1596878	482630
94B	94B	36970	527514	97951	77841	87849	468179	2208751	102136	118511	64697	4908574	3771913	199106	9711	190902	192752	3000	1678167	609402	76768	1870723	451328	3000	6793	9560	431741	20160	4279	3315	3248	8145554	1166037	570774
19B	19B	333703	120797	57116	24298	28398	173379	888125	123452	61698	35108	1885664	1707262	141535	10495	97853	35364	7287	1303809	853372	40680	1668956	666448	7642	10587	7043	269410	30234	5684	3000	3277	35234601	1023645	600354
84A	84A	35154	570994	199079	59909	53940	405397	1351483	134808	85836	34561	3079826	1601676	99292	8907	72891	66207	3000	913677	821918	49876	1248766	643659	6820	12808	8447	468814	26020	3000	3000	3376	11907719	1622988	318755
140B	140B	38785	305861	56613	20417	26858	198209	917031	98972	39273	31444	854121	1221371	106560	10098	108983	16344	3000	1130035	665889	30190	1107354	247575	3000	5134	4115	243577	5808	3000	3000	3391	18056472	1148847	577746
Az5B	Az5B	33082	284392	162570	44156	51041	261122	1312796	84317	47638	23250	2444863	2122771	93903	29249	151883	20830	3000	1025207	213706	33604	586592	140404	3000	4571	3342	241954	43708	3000	3640	3447	3948175	1954101	437323
46B	46B	29700	541877	54530	64752	51415	172294	994674	88445	41752	27845	1271251	981219	138505	171273	218449	96166	3000	1172417	475392	29206	1114469	525926	3000	6449	5566	183329	14826	3000	4246	3521	29706618	1325509	824900
114B	114B	20966	309927	73745	134277	76097	207584	1702026	145405	59816	34264	1223138	1198090	82556	60261	315602	27273	3000	844911	334686	23691	575084	221895	3000	4635	3000	111742	11391	3000	3000	3539	16674843	1288415	927955
47B	47B	58855	11630	23948	40098	33141	109436	811518	92208	33268	38117	828966	1167059	177327	44235	68079	74328	3000	1850995	692565	30766	1113318	359284	3000	9482	6314	248833	3494	3000	3000	3579	49711738	941305	412476
16B	16B	31282	294997	140803	34558	40406	387230	1370555	88649	84780	37084	3982407	2890363	133675	6934	66926	30276	3000	1588053	1535933	97955	1903902	652132	3000	6626	6683	819309	24180	3000	3000	3580	5738510	1557286	390137
12B	12B	19498	10669	71908	72114	53743	190284	693877	42707	49504	40025	1286326	1388796	107410	35209	178149	218691	3000	964305	236544	22880	671084	292277	3000	17608	18493	85390	3000	4388	4670	3737	39402	281868	156106
109A	109A	35465	375210	105923	40611	53392	282903	1086622	100189	45410	27214	1567187	1241195	87535	128697	49104	45168	3000	691012	490561	42184	936139	692555	3000	3000	3000	261834	13071	3000	3695	3751	11512306	1359533	228345
91B	91B	38110	466386	63339	85766	56235	235078	1154717	71277	61581	42786	1771010	1651861	129239	246496	191973	87778	3690	1116407	731868	47366	1603352	935629	3000	13174	13174	404786	30477	5678	4627	3767	11297145	1307220	685711
139A	139A	46288	963931	58073	91861	114496	138137	971746	132385	57609	54589	822260	1149124	222939	246985	580135	121223	5509	1813836	730346	37437	1379710	1034180	20381	17021	7339	202070	20656	4727	7277	3952	47718279	792621	1805169
112B	112B	40496	707170	63176	38178	43494	182019	954330	79466	59961	28357	1782095	1192006	61022	67287	171606	104825	3000	400810	214205	39157	680178	427666	3000	17758	14899	156337	54437	5760	3992	3966	15582985	1364686	645854
83B	83B	24286	784863	117789	48129	41094	257588	1066107	74345	58216	42318	1857176	1631656	128415	8535	129079	131340	3000	968918	510698	42802	1612242	1148930	3000	8931	6065	259312	12140	3956	3953	3989	36638751	1023077	563560
101B	101B	46029	493560	105487	55109	46883	178997	808840	78607	47832	14692	1203317	674861	70973	55964	334241	34875	3000	481679	332104	25099	738973	187647	3000	8070	3569	138853	8194	3000	3000	4030	12997227	1567452	1306535
51B	51B	34628	144384	58496	78204	65211	214976	1587125	145426	49513	33282	1352400	1486556	107731	39327	86785	16911	3000	1126295	667876	36031	838521	264229	3000	3333	3000	240563	5077	3000	3000	4086	14702569	2050938	374398
119A	119A	34714	1099321	192500	92475	109875	572788	2126038	160977	140274	91664	3781828	4325395	291553	124441	222418	42237	10438	4573288	2031991	89775	3258640	1594658	3000	8334	7071	1013710	39589	4185	3000	4126	15049910	774963	699265
124B	124B	27778	1464479	111293	63870	65643	214993	1786651	124275	70329	32927	2401800	1802764	97967	61892	180012	49429	3000	1061489	507573	40546	1063083	280193	3000	14346	7878	295497	93696	3000	3000	4127	12791075	1705442	590320
34B	34B	31277	548285	38157	63253	49853	137782	939786	107999	56887	49409	851250	961068	132694	9919	327662	135653	10493	1103269	788221	43143	1298498	756667	6000	40670	37655	219100	24230	10803	7046	4138	33866220	721495	1264250
140A	140A	37292	877367	199562	94543	141770	724378	4089711	236093	157614	70969	6024431	3965624	223936	198856	197418	100562	3000	2797802	1015747	67993	1775762	985130	7221	12561	9234	636695	22864	3000	5889	4162	6370297	1664011	530264
